20,all,Q4_1,    14.754,    94.927
21,all,Q4_1,    14.101,    94.933
22,all,Q4_1,    11.502,    94.967
23,all,Q4_1,    9.4329,    94.941
24,all,Q4_1,    8.5741,    94.933
25,all,Q4_1,    7.7939,    94.933
26,all,Q4_1,     6.301,    94.923
27,all,Q4_1,    6.4727,    94.928
28,all,Q4_1,    6.7674,    94.913
29,all,Q4_1,    5.8486,    94.907
30,all,Q4_1,    5.6221,     94.88
31,all,Q4_1,    5.4076,    94.899
32,all,Q4_1,    5.4632,    94.919
33,all,Q4_1,    5.4114,     94.91
34,all,Q4_1,    4.8169,    94.891
35,all,Q4_1,     4.821,    94.872
36,all,Q4_1,    4.6501,    94.928
37,all,Q4_1,    4.0952,    94.956
38,all,Q4_1,    3.8553,    94.949
39,all,Q4_1,    4.2148,    94.946
40,all,Q4_1,    4.3314,    94.942
41,all,Q4_1,    4.3652,    94.962
42,all,Q4_1,    4.8692,    94.944
43,all,Q4_1,    5.1978,    94.967
44,all,Q4_1,    6.1474,    94.952
45,all,Q4_1,    6.3811,     94.95
46,all,Q4_1,    7.7478,    94.985
47,all,Q4_1,    7.1716,    94.952
48,all,Q4_1,    7.8729,    94.956
49,all,Q4_1,    11.272,    94.969
50,all,Q4_1,     11.87,    94.933
51,all,Q4_1,    16.265,    94.943
52,all,Q4_1,    15.376,    94.932
53,all,Q4_1,    21.641,    94.952
54,all,Q4_1,    22.456,    94.964
55,all,Q4_1,    4.2004,    94.878
56,all,Q4_1,   0.92572,    94.871

0,all,Q8_0,    61.301,    94.795
1,all,Q8_0,    59.049,    94.793
2,all,Q8_0,    52.052,    94.782
3,all,Q8_0,    46.173,    94.743
4,all,Q8_0,     41.89,    94.755
5,all,Q8_0,    40.371,    94.753
6,all,Q8_0,     39.33,    94.767
7,all,Q8_0,    38.649,    94.765
8,all,Q8_0,    39.691,    94.785
9,all,Q8_0,    37.113,    94.806
10,all,Q8_0,      42.3,    94.787
11,all,Q8_0,    32.119,    94.751
12,all,Q8_0,    36.311,    94.763
13,all,Q8_0,    28.363,     94.76
14,all,Q8_0,    31.585,    94.762
15,all,Q8_0,    22.684,    94.773
16,all,Q8_0,    21.366,     94.78
17,all,Q8_0,    22.821,    94.765
18,all,Q8_0,    20.165,    94.753

0,all,Q5_1,    79.268,    97.412
1,all,Q5_1,    79.055,    97.403
2,all,Q5_1,    67.571,    97.422
3,all,Q5_1,    57.827,     97.44
4,all,Q5_1,    57.455,    97.407
5,all,Q5_1,    57.594,    97.401
6,all,Q5_1,    54.982,    97.423
7,all,Q5_1,    58.501,    97.421
8,all,Q5_1,     56.24,    97.414
9,all,Q5_1,     53.99,    97.385
10,all,Q5_1,    61.516,    97.341
11,all,Q5_1,    48.114,    97.376
12,all,Q5_1,    56.112,    97.401
13,all,Q5_1,    44.029,    97.413
14,all,Q5_1,    45.968,    97.427
15,all,Q5_1,    34.331,    97.421
