layer, block, cast, prune, loss, average full stack time
52,linear,Q4_1,0,    20.707,    0.9218
53,linear,Q4_1,0,    26.104,    0.9241
54,linear,Q4_1,0,    27.343,   0.92636
55,linear,Q4_1,0,    9.2884,   0.92198
56,linear,Q4_1,0,    6.7778,   0.92666

19,linear,Q5_1,0,    16.853,   0.95502
20,linear,Q5_1,0,    14.222,   0.92574
21,linear,Q5_1,0,    13.274,   0.92693
22,linear,Q5_1,0,    11.805,   0.92924
23,linear,Q5_1,0,    10.826,   0.92579
24,linear,Q5_1,0,    9.9639,   0.93267
25,linear,Q5_1,0,     9.504,   0.92839
26,linear,Q5_1,0,    9.0606,    0.9207
27,linear,Q5_1,0,     8.988,   0.93462
28,linear,Q5_1,0,    8.9269,   0.92984
29,linear,Q5_1,0,    8.8154,   0.92463
30,linear,Q5_1,0,    8.7415,   0.94376
31,linear,Q5_1,0,    8.6758,   0.94377
32,linear,Q5_1,0,    8.6909,   0.92487
33,linear,Q5_1,0,    8.6152,   0.93607
34,linear,Q5_1,0,     8.472,   0.93335
35,linear,Q5_1,0,    8.4141,   0.93862
36,linear,Q5_1,0,    8.3636,   0.96879
37,linear,Q5_1,0,    8.1391,   0.92291
38,linear,Q5_1,0,    8.1151,   0.93329
39,linear,Q5_1,0,    8.1125,   0.92556
40,linear,Q5_1,0,    8.1561,   0.94863
41,linear,Q5_1,0,    8.1509,    0.9316
42,linear,Q5_1,0,    8.2692,   0.94748
43,linear,Q5_1,0,    8.2307,   0.94711
44,linear,Q5_1,0,    8.4961,   0.94073
45,linear,Q5_1,0,    8.4033,   0.94336
46,linear,Q5_1,0,     8.725,   0.92133
47,linear,Q5_1,0,    8.6141,   0.92818
48,linear,Q5_1,0,    8.7523,   0.92815
49,linear,Q5_1,0,    9.5502,    0.9279
50,linear,Q5_1,0,    9.7252,     1.063
51,linear,Q5_1,0,    10.709,   0.96505
52,linear,Q5_1,0,    10.256,   0.98129
53,linear,Q5_1,0,    11.422,   0.94361
54,linear,Q5_1,0,    11.619,   0.94426
55,linear,Q5_1,0,    7.1904,   0.94548
56,linear,Q5_1,0,    6.5385,    0.9552

Below are cumulative:
19-20,linear,Q4_1,0,    24.041,   0.93987
19-21,linear,Q4_1,0,    27.746,   0.92693
19-22,linear,Q4_1,0,    31.143,   0.92959
19-23,linear,Q4_1,0,    34.068,   0.93465
19-24,linear,Q4_1,0,    36.729,   0.93584
19-25,linear,Q4_1,0,    39.561,   0.94261
19-26,linear,Q4_1,0,     41.83,   0.94171
19-27,linear,Q4_1,0,     44.16,   0.94917
19-28,linear,Q4_1,0,    46.739,   0.94596
19-29,linear,Q4_1,0,    49.331,   0.94684
19-30,linear,Q4_1,0,    51.925,   0.94778
19-31,linear,Q4_1,0,    54.597,    0.9494
19-32,linear,Q4_1,0,    57.369,   0.95443
19-33,linear,Q4_1,0,    60.303,   0.95178
19-34,linear,Q4_1,0,    62.535,   0.95369
19-35,linear,Q4_1,0,     64.72,   0.96112
19-36,linear,Q4_1,0,    67.117,   0.96205
19-37,linear,Q4_1,0,    68.988,   0.96216
19-38,linear,Q4_1,0,    70.733,   0.96984
19-39,linear,Q4_1,0,     72.69,   0.96555
19-40,linear,Q4_1,0,    74.807,   0.96663
19-41,linear,Q4_1,0,    77.095,   0.96953
19-42,linear,Q4_1,0,    79.892,   0.98227
19-43,linear,Q4_1,0,    83.076,   0.97763
19-44,linear,Q4_1,0,    87.087,   0.98866
19-45,linear,Q4_1,0,    90.991,    0.9825
19-46,linear,Q4_1,0,    96.886,   0.98337
19-47,linear,Q4_1,0,    101.83,   0.98359
19-48,linear,Q4_1,0,     108.0,   0.98642
19-49,linear,Q4_1,0,    117.91,   0.98913
19-50,linear,Q4_1,0,    127.88,   0.99332
19-51,linear,Q4_1,0,    141.59,   0.99852
19-52,linear,Q4_1,0,    155.71,   0.99343
19-53,linear,Q4_1,0,    173.27,    1.0094
19-54,linear,Q4_1,0,     193.8,    1.0158
19-55,linear,Q4_1,0,    196.34,    1.0218



19-19,linear,Q5_1,0,    16.853,    1.0334
